name,site,subtypes,category,type,phone,full_address,city,latitude,longitude,rating,reviews_link,reviews_tags,photo,street_view
Sree Ramaa Premier Luxury P.G. for Women,,Backpacker Hostel,Hostel,Backpacker Hostel,+91 81425 76914,"VG Radha's Nest, Plot No 42, beside Jain Rock Garden Road, Apartment, Madhapur, Gafoornagar, Hyderabad, Telangana 500081","Gafoornagar, Hyderabad",17.4388963,78.3848176,4.2,"https://search.google.com/local/reviews?placeid=ChIJ3yvdRV6RyzsR7Htifsp1t64&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipMqOKMNMBpCleiCljCfwfkuqhNoWSHFNCnjESlt=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMqOKMNMBpCleiCljCfwfkuqhNoWSHFNCnjESlt=w1600-h1000-k-no
Signature Premier Luxury PG For Women,,"Girls' hostel, Home Stay, Serviced accommodation, Hostel, Student housing center, Working women's hostel",Girls' hostel,Girls' hostel,+91 77300 77033,"Plot no:52, silphy valley , gaffoor nagar Madhapur, near to Hitec City, Hyderabad, Telangana 500081",Hyderabad,17.4401399,78.3831699,4.6,"https://search.google.com/local/reviews?placeid=ChIJww0QfhmTyzsR24P9IwLnqLk&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipPHeppsDc2z55HikYHNwpZ_1yRAu6_CMT7e5HeY=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPHeppsDc2z55HikYHNwpZ_1yRAu6_CMT7e5HeY=w1600-h1000-k-no
Zostel Hyderabad,https://www.zostel.com/zostel/hyderabad/,Backpacker Hostel,Hostel,Backpacker Hostel,+91 44 4011 4005,"5, Phase, C9QR+7XW, 1-95-2, 2, Durgam Cheruvu Rd, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4380919,78.392624,4.4,"https://search.google.com/local/reviews?placeid=ChIJQ4CnzVuRyzsRvATlIa073xk&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipNtOFaxh5SVUOfnLlZ8S9T7VbaBqAOtLhJYwzZu=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNtOFaxh5SVUOfnLlZ8S9T7VbaBqAOtLhJYwzZu=w1600-h1000-k-no
Green Homes Women's Deluxe PG & Hostel,,Working women's hostel,Working women's hostel,Working women's hostel,+91 95530 24225,"Metro Pillar#C1739, 1-16/1, Hitech City Rd, beside Center for Organization Development, Sri Sai Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4425063,78.3889049,4.2,"https://search.google.com/local/reviews?placeid=ChIJz1AmiV6RyzsRoxo5awOlYYg&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipOiWqJhDs10w_mqvyYrFEYZJx4kBNwYrCO0jQKL=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOiWqJhDs10w_mqvyYrFEYZJx4kBNwYrCO0jQKL=w1600-h1000-k-no
Colours Colive |Men's PG HOSTEL | Women's PG |Luxury PG in Madhapur,,"Hostel, Boys' hostel, Girls' hostel, Working women's hostel",Student dormitory,Hostel,+91 81399 99466,"Plot No: 923, Road No. 47, beside Swan Environmental PVT. Ltd., near 100 ft Road, Ayyappa Society, Mega Hills, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4495541,78.392572,4.3,"https://search.google.com/local/reviews?placeid=ChIJh_YQz0iRyzsRab_749a1KKo&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipPfmhZLby4IL-AzNS1aHA6dKN0ANyCsFFUbBfjG=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPfmhZLby4IL-AzNS1aHA6dKN0ANyCsFFUbBfjG=w1600-h1000-k-no
Dream House Men's Hostel,,"Boys' hostel, Backpacker Hostel, Home Stay, Hostel, Youth Hostel",Boys' hostel,Boys' hostel,+91 93481 25829,"Plot no 8, opposite Bank of Baroda lane, Arunodaya Colony, Jaihind Enclave, HITEC City, Hyderabad, Telangana 500081",Hyderabad,17.4465021,78.3879327,4.1,"https://search.google.com/local/reviews?placeid=ChIJNX57e7uRyzsRxmBzBdn2KS4&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipPJUX8mXcqg-Ll1jrLMfXvIWZvgZh_2HBQB8a7Z=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPJUX8mXcqg-Ll1jrLMfXvIWZvgZh_2HBQB8a7Z=w1600-h1000-k-no
Sri Venkateswara - Women's Hostel & PG,,Working women's hostel,Working women's hostel,Working women's hostel,,"No. 1-98, 13/3/2, Hitech Theater Ln, opp. SBI ATM, Arunodaya Colony, Sri Sai Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.444029,78.3877977,4.2,"https://search.google.com/local/reviews?placeid=ChIJiSLpRl6RyzsRLr6ky_KMCus&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipPe_DG1r34D_mRfq6JgIzUIOMHquSNsniI8KJEv=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPe_DG1r34D_mRfq6JgIzUIOMHquSNsniI8KJEv=w1600-h1000-k-no
Lotus Grand Women's Pg,,Working women's hostel,Working women's hostel,Working women's hostel,+91 94402 83759,"Sri Sai Enclave, 47, Ayyappa Society Main Rd, Megha Hills, Sri Sai Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4422987,78.3908857,3.6,"https://search.google.com/local/reviews?placeid=ChIJJ7njM1yRyzsRmyOvhxAsPNw&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipNLtGpB86CKalU6ictP976RuqM_VYwoIRbdQdsF=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNLtGpB86CKalU6ictP976RuqM_VYwoIRbdQdsF=w1600-h1000-k-no
Sai Kuteer Executive P.G for Women,,Working women's hostel,Working women's hostel,Working women's hostel,+91 99123 38391,"Plat No.11&1P, Street Number 1, Patrika Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4455362,78.382861,4.4,"https://search.google.com/local/reviews?placeid=ChIJ7aId3IiTyzsRYkpyFFUkiD0&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipO2F1_TI1455YIQ6m-glaMd7Y2F5dKyMSXJ6iDb=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipO2F1_TI1455YIQ6m-glaMd7Y2F5dKyMSXJ6iDb=w1600-h1000-k-no
Homestay Men’s pg & Hostel,,"Boys' hostel, Hostel",Boys' hostel,Boys' hostel,+91 72078 51852,"Mkr residency, survey of India, Road No 3, Ayyappa Society, Chanda Naik Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4559069,78.3921208,4.8,"https://search.google.com/local/reviews?placeid=ChIJwZFID7iRyzsR47sbsCdJvBM&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipPuzVG8nATrgDUKJaOplxD_WUOT5hG8X8LKnXAE=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPuzVG8nATrgDUKJaOplxD_WUOT5hG8X8LKnXAE=w1600-h1000-k-no
Star Whitehouse PG Hostel,,Backpacker Hostel,Hostel,Backpacker Hostel,+91 95157 66389,"Doctor's Colony Rd, beside NECTAR GARDENS, opposite Colors n Flavors, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4375218,78.3894688,3.7,"https://search.google.com/local/reviews?placeid=ChIJpTj-g1mRyzsRZ5Goj0HGr2w&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipOkO0wFr4RfA9ja6pq0mIzTimJk8Ujpq4hYsCIm=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOkO0wFr4RfA9ja6pq0mIzTimJk8Ujpq4hYsCIm=w1600-h1000-k-no
Womens Hostel in Madhapur - NewPoshPlace,,"Working women's hostel, Service Apartment, Hostel",Working women's hostel,Working women's hostel,+91 91600 77776,"Plot- 39, 1-98/9/3/48, Image Gardens Function Hall Road, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4495398,78.3857784,4.2,"https://search.google.com/local/reviews?placeid=ChIJe3TrvmGRyzsRgi_IHTqTvYU&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipPYBnf_IpUOGz7l2F3AudU7Aa4HkKushJ_KAeJL=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPYBnf_IpUOGz7l2F3AudU7Aa4HkKushJ_KAeJL=w1600-h1000-k-no
Prasanth Luxury Mens PG,,"Backpacker Hostel, Boys' hostel, Extended stay hotel, Hostel, Laundry service, Home Stay, Youth Hostel",Student dormitory,Backpacker Hostel,+91 90000 39502,"Plot No: 1145 & 1146, Rd Number 56, opp. CGR International School, Ayyappa Society, Mega Hills, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4485178,78.3926782,4.5,"https://search.google.com/local/reviews?placeid=ChIJhQi5KzGRyzsRg8qUE68zOu0&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipOJK0LG_cuHQpB6GtNrq0fzMPJ-tXQqvdj1QTO-=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOJK0LG_cuHQpB6GtNrq0fzMPJ-tXQqvdj1QTO-=w1600-h1000-k-no
Nest Women's Hostel,,"Girls' hostel, Working women's hostel",Girls' hostel,Girls' hostel,+91 90606 90606,"Plot No.44,45,46 near Dena Bank, VIP Hills, Sri Sai Nagar, Madhapur, Telangana 500081",Hyderabad,17.4456142,78.3875888,3.8,"https://search.google.com/local/reviews?placeid=ChIJ2VLPg2CRyzsR-In9VjQcF_E&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipM6nzkzUL55GWsU_4uT2NcmqiTDnNyT-gQNyZZ2=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipM6nzkzUL55GWsU_4uT2NcmqiTDnNyT-gQNyZZ2=w1600-h1000-k-no
Sravanthi women's hostel,,"Girls' hostel, Backpacker Hostel, Home Stay, Hostel, Women's shelter, Working women's hostel",Girls' hostel,Girls' hostel,+91 93481 25829,"1-98/9/65, Jai Hind Gandhi Rd, VIP Hills, Jaihind Enclave, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4466163,78.3877791,4.1,"https://search.google.com/local/reviews?placeid=ChIJBY8ejmCRyzsRWqcX1uVeM0k&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipMb-UfpKp69Q_ynvqn4TJlmLdYsaPzIZgTKCRfF=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMb-UfpKp69Q_ynvqn4TJlmLdYsaPzIZgTKCRfF=w1600-h1000-k-no
BGM Deluxe womens hostel,,Backpacker Hostel,Hostel,Backpacker Hostel,,"1, Sri poojitha pg, 90/4,/c, image Hospital, image Hospital, 1-90/4,/c, Sri poojitha pg, Arunodaya Colony, Vittal Rao Nagar, Madhapur, Telangana 500081",Hyderabad,17.4436096,78.3857036,3.6,"https://search.google.com/local/reviews?placeid=ChIJecNpz3eRyzsRthoVddIhR5Q&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=898IFX7Z0m2pIiTbjQXN5w&cb_client=search.gws-prod.gps&w=800&h=500&yaw=185.03043&pitch=0&thumbfov=100,https://lh5.googleusercontent.com/p/AF1QipPa4Kh_Rp8KG5HQUxrYn6wbjVCEPG3J65Z8TZi0=w1600-h1000-k-no
